date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-02-14,14.6,6.5,23.9,0,,312,8.5,,1020.5,
2024-02-15,14.4,7.7,24.4,0,,43,5.3,,1020.3,
2024-02-16,14.6,8,24.3,0,,305,4.2,,1020.6,
2024-02-17,17.2,9.9,23.9,0,,288,4.5,,1015.8,
2024-02-18,13.4,11.3,15.9,0,,49,18.3,,1013.3,
2024-02-19,12.5,10.9,16.1,13,,63,27.1,,1008.2,
2024-02-20,11.2,8,18.6,15,,7,13.3,,1012.1,
2024-02-21,12.8,5.5,19,0,,349,9.8,,1014,
2024-02-22,15.3,7.3,19.3,0,,323,11.3,,1016.2,
2024-02-23,12.6,5,19.4,0,,313,7.9,,1017.8,
2024-02-24,13,5.5,19.8,0,,80,7.8,,1018.1,
2024-02-25,13.4,8,20,0,,318,8,,1021.3,
2024-02-26,12.9,7,17.3,0,,308,11.4,,1021.9,
2024-02-27,14.5,8,20.5,0,,281,12.7,,1020.8,
2024-02-28,16.3,7.8,22.2,0,,298,12.2,,1018.4,
2024-02-29,14,9,19.1,0,,302,7.4,,1016.5,
2024-03-01,12.3,10.7,14,3,,57,17.5,,1015.9,
2024-03-02,12.7,10,16.4,33,,105,29.7,,1007.2,
2024-03-03,11.2,8,16.6,23.1,,131,17.6,,1012.3,
2024-03-04,11,5,16.5,0,,290,11.2,,1019.6,
2024-03-05,12.8,6,20,0,,292,9.2,,1019.4,
2024-03-06,16.2,8.3,21,0,,257,6.8,,1016.2,
2024-03-07,15,11.5,19.6,0,,17,8.6,,1016.9,
2024-03-08,15.1,8,22,0,,320,9.4,,1017.9,
2024-03-09,17.6,9.5,24.3,0,,304,11.6,,1017.1,
2024-03-10,16.3,11.9,22.5,0,,315,7.1,,1015.9,
2024-03-11,17.1,12.5,23.1,0,,5,10.5,,1018,
2024-03-12,19.6,12.4,25.9,0,,267,9.4,,1016.4,
2024-03-13,14.8,12.9,19.5,0,,67,14.3,,1013.3,
2024-03-14,16.4,9,21.9,20.1,,292,9.1,,1018.7,
2024-03-15,16.8,9,24,0,,283,12.2,,1015.9,
2024-03-16,18.5,9.6,26.1,0,,308,6,,1016.8,
2024-03-17,19.2,10.5,26.8,0,,314,8.5,,1016.8,
2024-03-18,19.1,13.5,27,0,,307,8.4,,1014,
2024-03-19,22.3,12.8,29.1,0,,325,10,,1013.7,
2024-03-20,22.4,13,29.8,0,,321,7.8,,1014,
2024-03-21,20.4,18.3,24.9,0,,59,14.2,,1012.7,
2024-03-22,20.1,15.8,25.8,6.1,,25,13.5,,1012.6,
2024-03-23,21.8,14,28,0,,289,11.9,,1010.5,
2024-03-24,23.1,17.9,29.3,1.8,,292,12.4,,1011.5,
2024-03-25,23.6,16.5,30.1,0,,313,12.9,,1012.9,
2024-03-26,22.9,17.5,29,0,,312,9.2,,1011.6,
2024-03-27,20.7,17.4,25.6,0,,300,15.9,,1016.1,
2024-03-28,21.4,16.5,27.2,0.9,,298,14.6,,1014.4,
2024-03-29,21,17.6,25.1,5.8,,56,17.5,,1012.2,
2024-03-30,18.9,16.7,21.5,12.8,,74,20.1,,1013,
2024-03-31,19.6,13.5,26.5,0.9,,233,11.2,,1015.6,
2024-04-01,20.9,13.9,27.7,0,,282,11,,1010.5,
2024-04-02,21.8,15.2,28.6,0,,298,9.8,,1008.3,
2024-04-03,21.9,16,28.6,1,,352,16.7,,1011,
2024-04-04,20.5,15.1,27.6,1,,306,12.9,,1012.2,
2024-04-05,22.5,16,29.1,0,,303,12.4,,1010.4,
2024-04-06,23.1,15.3,29.8,0,,316,13.5,,1009.6,
2024-04-07,24.6,16.4,30.8,0,,315,10.8,,1008.8,
2024-04-08,24.5,16,31.7,0,,337,8.9,,1009.5,
2024-04-09,25.2,17,32.5,0,,320,8.3,,1010.4,
2024-04-10,23.5,19,31.6,0,,20,16.5,,1011.2,
2024-04-11,25,16.2,30.7,2,,48,16.6,,1013.6,
2024-04-12,25.5,18.3,31,0,,41,17.1,,1011.8,
2024-04-13,18.6,17,21.5,1,,346,23.8,,1012.5,
2024-04-14,18.9,16,22.6,1,,49,15.6,,1015.5,
2024-04-15,18.7,16,22,1,,53,16.2,,1014.5,
2024-04-16,21.2,14,27.9,0,,275,11.2,,1013.8,
2024-04-17,24.8,16.5,30.3,0,,277,9.2,,1009.4,
2024-04-18,21.2,18,25.2,0,,61,16.3,,1008.7,
2024-04-19,16.7,16.5,20,15,,49,25,,1007.8,
2024-04-20,20.6,14.5,27.2,20.1,,354,14.2,,1008.2,
2024-04-21,22,15.6,30,0,,266,7.5,,1007.7,
2024-04-22,23.6,17.5,30.4,0,,83,12.9,,1008.3,
2024-04-23,23.2,16.3,30.4,0,,108,11.5,,1008.2,
2024-04-24,24.9,18.2,31.5,0,,11,9.1,,1007.4,
2024-04-25,26.2,19.9,32.6,0,,335,12.7,,1007.6,
2024-04-26,23.6,21,31.5,0,,345,17.1,,1006.9,
2024-04-27,19.5,17.5,23,2,,40,19.7,,1009.3,
2024-04-28,20.8,16.4,26.5,9.9,,54,22.4,,1010,
2024-04-29,17.7,14,24,4.1,,36,24.3,,1010.3,
2024-04-30,18.5,11,25.2,2,,325,18.7,,1010.2,
2024-05-01,21.5,14.4,28,0,,283,16.1,,1005.5,
2024-05-02,24.1,15.1,31.6,0,,303,9.9,,1006,
2024-05-03,21.2,17.5,29.4,0,,354,12.2,,1006.6,
2024-05-04,25.3,19.9,32.1,0,,312,15.2,,1009.1,
2024-05-05,27.8,20.4,33,0,,298,18.2,,1004.1,
2024-05-06,28.9,21,35.5,0,,323,9.4,,1003.7,
2024-05-07,30.2,21.2,36.6,0,,334,11,,1005.1,
2024-05-08,28.3,22,37.8,0,,62,8.6,,1004.8,
2024-05-09,30.4,23.3,36,0,,102,13.5,,1003.8,
2024-05-10,27.1,25,31.7,0,,40,17.3,,1006.2,
2024-05-11,28.1,18,34.1,14,,187,13.5,,1007.5,
2024-05-12,26,22.3,31,0,,42,19.2,,1009.8,
2024-05-13,28,19.4,33.5,1,,321,14,,1010.4,
2024-05-14,28.7,21.5,36.4,0,,324,7.4,,1008.6,
2024-05-15,30.9,22.1,37.9,0,,72,7.9,,1007.5,
2024-05-16,31.4,25.5,38,0,,39,11.8,,1007.2,
2024-05-17,31.7,25.5,38.2,0,,302,13.3,,1004.7,
2024-05-18,32,26.3,37.5,0,,319,19.3,,1002.6,
2024-05-19,32,26.5,38.5,0,,314,13.9,,1000.5,
2024-05-20,33.2,25.9,39.4,0,,343,13.2,,1001,
2024-05-21,33.7,25.5,39.2,0,,320,13.6,,1001.4,
2024-05-22,34.1,25.6,40.2,0,,60,9.2,,1001,
2024-05-23,33.7,24.6,40.1,0,,102,13.1,,1000.1,
2024-05-24,31.2,26.4,39.8,0,,74,15.8,,1000.8,
2024-05-25,31.8,25.1,38.9,3,,316,19.4,,999.9,
2024-05-26,34.5,25.1,40,0,,338,16.2,,997.5,
